name	vaccine_id	vaccine_proper_name	trade_name
Mus musculus	NCBITaxon_10090		
Rattus	NCBITaxon_10114		
Cavia porcellus	NCBITaxon_10141		
Chinchillidae	NCBITaxon_10150		
Viruses	NCBITaxon_10239		
Poxviridae	NCBITaxon_10240		
Chordopoxvirinae	NCBITaxon_10241		
Orthopoxvirus	NCBITaxon_10242		
Monkeypox virus	NCBITaxon_10244		
Vaccinia virus	NCBITaxon_10245		
Variola virus	NCBITaxon_10255		
Orf virus	NCBITaxon_10258		
Avipoxvirus	NCBITaxon_10260		
Fowlpox virus	NCBITaxon_10261		
Pigeonpox virus	NCBITaxon_10264		
H5N1 subtype	NCBITaxon_102793		
Herpesviridae	NCBITaxon_10292		
Alphaherpesvirinae	NCBITaxon_10293		
Simplexvirus	NCBITaxon_10294		
Human alphaherpesvirus 1	NCBITaxon_10298		
Human alphaherpesvirus 2	NCBITaxon_10310		
Varicellovirus	NCBITaxon_10319		
Bovine alphaherpesvirus 1	NCBITaxon_10320		
Equid alphaherpesvirus 1	NCBITaxon_10326		
Felid alphaherpesvirus 1	NCBITaxon_10334		
Human alphaherpesvirus 3	NCBITaxon_10335		
Suid alphaherpesvirus 1	NCBITaxon_10345		
Betaherpesvirinae	NCBITaxon_10357		
Human betaherpesvirus 5	NCBITaxon_10359		
Murid betaherpesvirus 1	NCBITaxon_10366		
Gallid alphaherpesvirus 1	NCBITaxon_10386		
Gallid alphaherpesvirus 2	NCBITaxon_10390		
Orthohepadnavirus	NCBITaxon_10405		
Hepatitis B virus	NCBITaxon_10407		
Anatid alphaherpesvirus 1	NCBITaxon_104388		
unidentified baculovirus	NCBITaxon_10469		
African swine fever virus	NCBITaxon_10497		
Adenoviridae	NCBITaxon_10508		
Canine adenovirus 1	NCBITaxon_10512		
Canine adenovirus 2	NCBITaxon_10514		
Canine mastadenovirus A	NCBITaxon_10537		
Human papillomavirus	NCBITaxon_10566		
Bovine papillomavirus	NCBITaxon_10571		
Clostridium perfringens D	NCBITaxon_107819		
Feline panleukopenia virus	NCBITaxon_10786		
Feline panleukopenia virus (strain 193)	NCBITaxon_10787		
Canine parvovirus	NCBITaxon_10788		
Mink enteritis virus	NCBITaxon_10792		
Porcine parvovirus	NCBITaxon_10796		
Reoviridae	NCBITaxon_10880		
Orbivirus	NCBITaxon_10892		
Rotavirus	NCBITaxon_10912		
Porcine rotavirus	NCBITaxon_10913		
Bovine rotavirus	NCBITaxon_10927		
Equine rotavirus	NCBITaxon_10937		
Birnaviridae	NCBITaxon_10993		
Infectious bursal disease virus	NCBITaxon_10995		
Infectious pancreatic necrosis virus	NCBITaxon_11002		
Alphavirus	NCBITaxon_11019		
Eastern equine encephalitis virus	NCBITaxon_11021		
Sindbis virus	NCBITaxon_11034		
Venezuelan equine encephalitis virus	NCBITaxon_11036		
Western equine encephalitis virus	NCBITaxon_11039		
Rubivirus	NCBITaxon_11040		
Rubella virus	NCBITaxon_11041		
Equine arteritis virus	NCBITaxon_11047		
Flaviviridae	NCBITaxon_11050		
Flavivirus	NCBITaxon_11051		
Japanese encephalitis virus	NCBITaxon_11072		
West Nile virus	NCBITaxon_11082		
Tick-borne encephalitis virus	NCBITaxon_11084		
Yellow fever virus	NCBITaxon_11089		
Pestivirus	NCBITaxon_11095		
Classical swine fever virus	NCBITaxon_11096		
Bovine viral diarrhea virus 1	NCBITaxon_11099		
Porphyromonas gulae	NCBITaxon_111105		
Coronaviridae	NCBITaxon_11118		
Infectious bronchitis virus	NCBITaxon_11120		
Bovine coronavirus	NCBITaxon_11128		
Feline infectious peritonitis virus	NCBITaxon_11135		
Transmissible gastroenteritis virus	NCBITaxon_11149		
Canine coronavirus	NCBITaxon_11153		
Mononegavirales	NCBITaxon_11157		
Paramyxoviridae	NCBITaxon_11158		
Mumps virus	NCBITaxon_11161		
Avian avulavirus 1	NCBITaxon_11176		
Bovine respirovirus 3	NCBITaxon_11215		
Morbillivirus	NCBITaxon_11229		
Canine morbillivirus	NCBITaxon_11232		
Measles morbillivirus	NCBITaxon_11234		
Rinderpest morbillivirus	NCBITaxon_11241		
Pneumoviridae	NCBITaxon_11244		
Bovine orthopneumovirus	NCBITaxon_11246		
Human orthopneumovirus	NCBITaxon_11250		
Filoviridae	NCBITaxon_11266		
Rhabdoviridae	NCBITaxon_11270		
Lyssavirus	NCBITaxon_11286		
Viral hemorrhagic septicemia virus	NCBITaxon_11287		
Infectious hematopoietic necrosis virus	NCBITaxon_11290		
Rabies lyssavirus	NCBITaxon_11292		
Orthomyxoviridae	NCBITaxon_11308		
unidentified influenza virus	NCBITaxon_11309		
Dhori thogotovirus	NCBITaxon_11318		
Influenza A virus	NCBITaxon_11320		
H1N1 subtype	NCBITaxon_114727		
Rift Valley fever virus	NCBITaxon_11588		
Lassa mammarenavirus	NCBITaxon_11620		
Lymphocytic choriomeningitis mammarenavirus	NCBITaxon_11623		
Reticuloendotheliosis virus	NCBITaxon_11636		
Lentivirus	NCBITaxon_11646		
Feline immunodeficiency virus	NCBITaxon_11673		
Simian immunodeficiency virus	NCBITaxon_11723		
Hyperotreti	NCBITaxon_117565		
Euteleostomi	NCBITaxon_117571		
Feline leukemia virus	NCBITaxon_11768		
Bovine leukemia virus	NCBITaxon_11901		
Enoplea	NCBITaxon_119088		
Caliciviridae	NCBITaxon_11974		
Rabbit hemorrhagic disease virus	NCBITaxon_11976		
Feline calicivirus	NCBITaxon_11978		
Picornaviridae	NCBITaxon_12058		
Enterovirus	NCBITaxon_12059		
Coxsackievirus	NCBITaxon_12066		
Human poliovirus 1	NCBITaxon_12080		
Human poliovirus 2	NCBITaxon_12083		
Human poliovirus 3	NCBITaxon_12086		
Hepatovirus	NCBITaxon_12091		
Hepatovirus A	NCBITaxon_12092		
Foot-and-mouth disease virus	NCBITaxon_12110		
Nipah henipavirus	NCBITaxon_121791		
Proteobacteria	NCBITaxon_1224		
Gammaproteobacteria	NCBITaxon_1236		
Piscirickettsia salmonis	NCBITaxon_1238		
Firmicutes	NCBITaxon_1239		
Borna disease virus	NCBITaxon_12455		
Hepatitis delta virus	NCBITaxon_12475		
Chicken anemia virus	NCBITaxon_12618		
Dengue virus	NCBITaxon_12637		
Human immunodeficiency virus	NCBITaxon_12721		
Staphylococcus	NCBITaxon_1279		
Staphylococcus aureus	NCBITaxon_1280		
Respiratory syncytial virus	NCBITaxon_12814		
Swine influenza virus	NCBITaxon_12845		
Streptococcus	NCBITaxon_1301		
Streptococcus suis	NCBITaxon_1307		
Streptococcus agalactiae	NCBITaxon_1311		
Streptococcus pneumoniae	NCBITaxon_1313		
Streptococcus pyogenes	NCBITaxon_1314		
Middle East respiratory syndrome-related coronavirus	NCBITaxon_1335626		
Streptococcus equi	NCBITaxon_1336		
Dicentrarchus	NCBITaxon_13488		
Dicentrarchus labrax	NCBITaxon_13489		
Spirochaetales	NCBITaxon_136		
Bacillales	NCBITaxon_1385		
Bacillus <firmicutes>	NCBITaxon_1386		
Enterovirus C	NCBITaxon_138950		
Borreliella burgdorferi	NCBITaxon_139		
Bacillus anthracis	NCBITaxon_1392		
Boreoeutheria	NCBITaxon_1437010		
Clostridium	NCBITaxon_1485		
Euteleosteomorpha	NCBITaxon_1489388		
Clostridium botulinum	NCBITaxon_1491		
Salmonella enterica subsp. enterica serovar Enteritidis	NCBITaxon_149539		
Canine parainfluenza virus	NCBITaxon_149595		
Yersinia enterocolitica subsp. enterocolitica	NCBITaxon_150052		
Clostridium perfringens	NCBITaxon_1502		
Protoparvovirus	NCBITaxon_1506574		
Clostridium tetani	NCBITaxon_1513		
Papillomaviridae	NCBITaxon_151340		
Gammaretrovirus	NCBITaxon_153135		
Galloanserae	NCBITaxon_1549675		
Treponema pallidum	NCBITaxon_160		
Human metapneumovirus	NCBITaxon_162145		
Metapneumovirus	NCBITaxon_162387		
Listeria monocytogenes	NCBITaxon_1639		
Erysipelothrix rhusiopathiae	NCBITaxon_1648		
Yersinia pseudotuberculosis complex	NCBITaxon_1649845		
Mammarenavirus	NCBITaxon_1653394		
Leptospira	NCBITaxon_171		
Corynebacterium	NCBITaxon_1716		
Corynebacterium diphtheriae	NCBITaxon_1717		
Corynebacterium pseudotuberculosis	NCBITaxon_1719		
Leptospira interrogans	NCBITaxon_173		
Passeroidea	NCBITaxon_175121		
Leptospira interrogans serovar Hardjo	NCBITaxon_176		
Mycobacterium	NCBITaxon_1763		
Mycobacterium avium	NCBITaxon_1764		
Mycobacterium tuberculosis variant bovis	NCBITaxon_1765		
Mycobacterium tuberculosis	NCBITaxon_1773		
Mycobacterium marinum	NCBITaxon_1781		
Terrabacteria group	NCBITaxon_1783272		
Mardivirus	NCBITaxon_180252		
Iltovirus	NCBITaxon_180255		
Marburgvirus	NCBITaxon_186537		
Clupeocephala	NCBITaxon_186625		
Novirhabdovirus	NCBITaxon_186778		
Orthopneumovirus	NCBITaxon_1868215		
Yersiniaceae	NCBITaxon_1903411		
Campylobacter	NCBITaxon_194		
Campylobacter fetus	NCBITaxon_196		
Campylobacter jejuni	NCBITaxon_197		
Alphainfluenzavirus	NCBITaxon_197911		
Betainfluenzavirus	NCBITaxon_197912		
Gammainfluenzavirus	NCBITaxon_197913		
Bunyavirales	NCBITaxon_1980410		
Bacteria	NCBITaxon_2		
Spirochaetia	NCBITaxon_203692		
Brucella suis 1330	NCBITaxon_204722		
Ebola virus sp.	NCBITaxon_205488		
Neisseriales	NCBITaxon_206351		
Mycoplasma	NCBITaxon_2093		
Mycoplasma gallisepticum	NCBITaxon_2096		
Mycoplasma hyopneumoniae	NCBITaxon_2099		
Helicobacter pylori	NCBITaxon_210		
Mycoplasma synoviae	NCBITaxon_2109		
Leptospira interrogans serovar Canicola	NCBITaxon_211880		
Campylobacterales	NCBITaxon_213849		
Archaea	NCBITaxon_2157		
Brucella melitensis bv. 1 str. 16M	NCBITaxon_224914		
Brucella	NCBITaxon_234		
Brucella abortus	NCBITaxon_235		
Brucella ovis	NCBITaxon_236		
Negarnaviricota	NCBITaxon_2497569		
Polyploviricotina	NCBITaxon_2497571		
Orthocoronavirinae	NCBITaxon_2501931		
Riboviria	NCBITaxon_2559587		
Orthoparamyxovirinae	NCBITaxon_2560076		
Avulavirus	NCBITaxon_260963		
Henipavirus	NCBITaxon_260964		
Metamonada	NCBITaxon_2611341		
Brucella abortus bv. 1 str. 9-941	NCBITaxon_262698		
Francisella tularensis	NCBITaxon_263		
Eukaryota	NCBITaxon_2759		
Bovinae	NCBITaxon_27592		
Porphyromonas macacae	NCBITaxon_28115		
Vibrio ordalii	NCBITaxon_28174		
Alphaproteobacteria	NCBITaxon_28211		
Betaproteobacteria	NCBITaxon_28216		
Porcine reproductive and respiratory syndrome virus	NCBITaxon_28344		
Burkholderia pseudomallei	NCBITaxon_28450		
Pseudomonas	NCBITaxon_286		
Pseudomonas aeruginosa	NCBITaxon_287		
Neospora caninum	NCBITaxon_29176		
Brucella melitensis	NCBITaxon_29459		
Brucella suis	NCBITaxon_29461		
Yersinia ruckeri	NCBITaxon_29486		
Lawsonia intracellularis	NCBITaxon_29546		
Laurasiatheria	NCBITaxon_314145		
Euarchontoglires	NCBITaxon_314146		
Glires	NCBITaxon_314147		
Simiiformes	NCBITaxon_314293		
Tetrapoda	NCBITaxon_32523		
Amniota	NCBITaxon_32524		
Sauria	NCBITaxon_32561		
Orthoretrovirinae	NCBITaxon_327045		
Canine minute virus	NCBITaxon_329639		
Opisthokonta	NCBITaxon_33154		
Bilateria	NCBITaxon_33213		
unclassified Papillomaviridae	NCBITaxon_333774		
Hystricomorpha	NCBITaxon_33550		
Carnivora	NCBITaxon_33554		
Riemerella anatipestifer	NCBITaxon_34085		
Replication competent viruses	NCBITaxon_353210		
unclassified Orthomyxoviridae	NCBITaxon_35324		
Pecora	NCBITaxon_35500		
Brucella abortus 2308	NCBITaxon_359391		
H1N1 swine influenza virus	NCBITaxon_36420		
Brucella canis	NCBITaxon_36855		
Chikungunya virus	NCBITaxon_37124		
Caniformia	NCBITaxon_379584		
Avian orthoreovirus	NCBITaxon_38170		
Leptospira kirschneri serovar Grippotyphosa	NCBITaxon_38345		
Avian metapneumovirus	NCBITaxon_38525		
Leishmania <subgenus>	NCBITaxon_38568		
Leishmania donovani species complex	NCBITaxon_38574		
Murinae	NCBITaxon_39107		
Bubalus bubalis bubalis	NCBITaxon_391902		
Yersinia enterocolitica subsp. enterocolitica 8081	NCBITaxon_393305		
Rubulavirus	NCBITaxon_39744		
Caprine alphaherpesvirus 1	NCBITaxon_39944		
African horse sickness virus	NCBITaxon_40050		
Bluetongue virus	NCBITaxon_40051		
Quailpox virus	NCBITaxon_400570		
Parvovirinae	NCBITaxon_40119		
Aliivibrio salmonicida	NCBITaxon_40269		
Mammalia	NCBITaxon_40674		
Turkey adenovirus 3	NCBITaxon_41678		
Plasmodium (Vinckeia)	NCBITaxon_418101		
Aconoidasida	NCBITaxon_422676		
Eimeriorina	NCBITaxon_423054		
Sarcocystis neurona	NCBITaxon_42890		
Brucella abortus S19	NCBITaxon_430066		
Canarypox virus	NCBITaxon_44088		
Brucella microti	NCBITaxon_444163		
Brucella ovis ATCC 25840	NCBITaxon_444178		
Brucella suis ATCC 23445	NCBITaxon_470137		
Fungi	NCBITaxon_4751		
Brucella canis ATCC 23365	NCBITaxon_483179		
Neisseria meningitidis	NCBITaxon_487		
Flavobacteriaceae	NCBITaxon_49546		
Psittacid alphaherpesvirus 1	NCBITaxon_50294		
Salmoninae	NCBITaxon_504568		
Bordetella	NCBITaxon_517		
Bordetella bronchiseptica	NCBITaxon_518		
Bordetella pertussis	NCBITaxon_520		
Bordetella avium	NCBITaxon_521		
Enterobacteriaceae	NCBITaxon_543		
Bovine viral diarrhea virus 2	NCBITaxon_54315		
Brucella melitensis ATCC 23457	NCBITaxon_546272		
Coccidioides	NCBITaxon_5500		
Vibrio anguillarum	NCBITaxon_55601		
Salmon isavirus	NCBITaxon_55987		
Dintheria	NCBITaxon_560210		
Escherichia coli	NCBITaxon_562		
Trypanosomatidae	NCBITaxon_5654		
Leishmania <genus>	NCBITaxon_5658		
Leishmania amazonensis	NCBITaxon_5659		
Leishmania donovani	NCBITaxon_5661		
Leishmania major	NCBITaxon_5664		
Tritrichomonas suis	NCBITaxon_56690		
Leishmania infantum	NCBITaxon_5671		
Brucella microti CCM 4915	NCBITaxon_568815		
Trypanosoma	NCBITaxon_5690		
Trypanosoma brucei	NCBITaxon_5691		
Trypanosoma cruzi	NCBITaxon_5693		
Giardia intestinalis	NCBITaxon_5741		
Entamoeba histolytica	NCBITaxon_5759		
Naegleria	NCBITaxon_5761		
Naegleria gruberi	NCBITaxon_5762		
Naegleria fowleri	NCBITaxon_5763		
Apicomplexa	NCBITaxon_5794		
Eimeria	NCBITaxon_5800		
Eimeria tenella	NCBITaxon_5802		
Eimeria maxima	NCBITaxon_5804		
Cryptosporidium parvum	NCBITaxon_5807		
Sarcocystidae	NCBITaxon_5809		
Toxoplasma gondii	NCBITaxon_5811		
Plasmodium	NCBITaxon_5820		
Plasmodium berghei	NCBITaxon_5821		
Plasmodium falciparum	NCBITaxon_5833		
Plasmodium vivax	NCBITaxon_5855		
Plasmodium yoelii	NCBITaxon_5861		
Piroplasmida	NCBITaxon_5863		
Babesia	NCBITaxon_5864		
Babesia bovis	NCBITaxon_5865		
Babesia bigemina	NCBITaxon_5866		
Babesia canis	NCBITaxon_5867		
Theileria	NCBITaxon_5873		
Theileria annulata	NCBITaxon_5874		
Theileria parva	NCBITaxon_5875		
Salmonella	NCBITaxon_590		
Salmonella enterica subsp. enterica	NCBITaxon_59201		
Salmonella enterica subsp. enterica serovar Gallinarum	NCBITaxon_594		
Schistosoma	NCBITaxon_6181		
Schistosoma japonicum	NCBITaxon_6182		
Schistosoma mansoni	NCBITaxon_6183		
Monkeypox virus Zaire-96-I-16	NCBITaxon_619591		
Shigella	NCBITaxon_620		
Shigella dysenteriae	NCBITaxon_622		
Shigella flexneri	NCBITaxon_623		
Shigella sonnei	NCBITaxon_624		
Yersinia <enterobacteria>	NCBITaxon_629		
Yersinia pestis	NCBITaxon_632		
Yersinia pseudotuberculosis	NCBITaxon_633		
Hendra henipavirus	NCBITaxon_63330		
Trichinella spiralis	NCBITaxon_6334		
Edwardsiella <enterobacteria>	NCBITaxon_635		
Edwardsiella tarda	NCBITaxon_636		
Vibrionaceae	NCBITaxon_641		
Aeromonas	NCBITaxon_642		
Aeromonas hydrophila	NCBITaxon_644		
Aeromonas salmonicida	NCBITaxon_645		
Borreliella	NCBITaxon_64895		
Vibrio	NCBITaxon_662		
Vibrio cholerae	NCBITaxon_666		
Edwardsiella ictaluri	NCBITaxon_67780		
delta/epsilon subdivisions	NCBITaxon_68525		
Sedoreovirinae	NCBITaxon_689832		
Avihepatovirus A	NCBITaxon_691956		
Coronavirinae	NCBITaxon_693995		
Alphacoronavirus 1	NCBITaxon_693997		
Betacoronavirus	NCBITaxon_694002		
Severe acute respiratory syndrome-related coronavirus	NCBITaxon_694009		
Tremovirus A	NCBITaxon_70796		
Pasteurellaceae	NCBITaxon_712		
Actinobacillus pleuropneumoniae	NCBITaxon_715		
Thiotrichales	NCBITaxon_72273		
Haemophilus	NCBITaxon_724		
Haemophilus influenzae	NCBITaxon_727		
Histophilus somni	NCBITaxon_731		
Glaesserella parasuis	NCBITaxon_738		
Pasteurella multocida	NCBITaxon_747		
Mannheimia haemolytica	NCBITaxon_75985		
Rickettsiales	NCBITaxon_766		
Arteriviridae	NCBITaxon_76803		
Nidovirales	NCBITaxon_76804		
Theileria lestoquardi	NCBITaxon_77054		
Vertebrata <vertebrates>	NCBITaxon_7742		
Coxiella burnetii	NCBITaxon_777		
Rickettsia	NCBITaxon_780		
Actinopterygii	NCBITaxon_7898		
Clostridium perfringens C	NCBITaxon_79668		
Siluriformes	NCBITaxon_7995		
Salmonidae	NCBITaxon_8015		
Oncorhynchus mykiss	NCBITaxon_8022		
Burkholderiales	NCBITaxon_80840		
Chlamydia	NCBITaxon_810		
Chlamydia trachomatis	NCBITaxon_813		
Escherichia coli O157:H7	NCBITaxon_83334		
Chlamydia psittaci	NCBITaxon_83554		
Chlamydia abortus	NCBITaxon_83555		
Chlamydia pneumoniae	NCBITaxon_83558		
Chlamydia muridarum	NCBITaxon_83560		
Porphyromonas	NCBITaxon_836		
Corynebacteriales	NCBITaxon_85007		
Porcine circovirus 2	NCBITaxon_85708		
Aves	NCBITaxon_8782		
Neognathae	NCBITaxon_8825		
Anas	NCBITaxon_8835		
Phasianidae	NCBITaxon_9005		
Leptospira interrogans serovar Icterohaemorrhagiae	NCBITaxon_90062		
Gallus gallus	NCBITaxon_9031		
Salmonella enterica subsp. enterica serovar Typhi	NCBITaxon_90370		
Salmonella enterica subsp. enterica serovar Typhimurium	NCBITaxon_90371		
Meleagris gallopavo	NCBITaxon_9103		
Bacilli	NCBITaxon_91061		
Enterobacterales	NCBITaxon_91347		
Artiodactyla	NCBITaxon_91561		
Psittacidae	NCBITaxon_9224		
Leptospira sp. Pomona	NCBITaxon_94063		
Platyrrhini	NCBITaxon_9479		
Neorickettsia risticii	NCBITaxon_950		
Catarrhini	NCBITaxon_9526		
Chlorocebus aethiops	NCBITaxon_9534		
Homo sapiens	NCBITaxon_9606		
Canidae	NCBITaxon_9608		
Canis	NCBITaxon_9611		
Canis lupus	NCBITaxon_9612		
Canis lupus familiaris	NCBITaxon_9615		
Vulpes	NCBITaxon_9625		
Procyon lotor	NCBITaxon_9654		
Mustela putorius furo	NCBITaxon_9669		
Felis	NCBITaxon_9682		
Felis catus	NCBITaxon_9685		
Bacteroidetes	NCBITaxon_976		
Balaenoptera borealis	NCBITaxon_9768		
Equidae	NCBITaxon_9788		
Equus caballus	NCBITaxon_9796		
Sus scrofa	NCBITaxon_9823		
Cervidae	NCBITaxon_9850		
Bovidae	NCBITaxon_9895		
Bison	NCBITaxon_9900		
Bison bison	NCBITaxon_9901		
Bos taurus	NCBITaxon_9913		
Capra hircus	NCBITaxon_9925		
Ovis	NCBITaxon_9935		
Ovis aries	NCBITaxon_9940		
Flavobacterium columnare	NCBITaxon_996		
Caprinae	NCBITaxon_9963		
Oryctolagus cuniculus	NCBITaxon_9986		
Rodentia	NCBITaxon_9989		
adverse event	OAE_0000001		
vaccine adverse event	OAE_0000004		
contraindication	OAE_0000055		
vaccine-induced adverse event	OAE_0000097		
planned process	OBI_0000011		
regulator role	OBI_0000014		
regulation-assigned role	OBI_0000016		
regulatory role	OBI_0000017		
processed material	OBI_0000047		
evaluant role	OBI_0000067		
reagent role	OBI_0000086		
material processing	OBI_0000094		
population	OBI_0000181		
antigen role	OBI_0000237		
organization	OBI_0000245		
protocol	OBI_0000272		
intraperitoneal injection	OBI_0000281		
material to be added role	OBI_0000319		
transfer function	OBI_0000383		
syringe	OBI_0000422		
injection	OBI_0000426		
intraperitoneal administration	OBI_0000429		
adding material objective	OBI_0000434		
assay objective	OBI_0000441		
target of material addition role	OBI_0000444		
regulatory agency	OBI_0000450		
material transformation objective	OBI_0000456		
scattered molecular aggregate	OBI_0000576		
material combination	OBI_0000652		
creating a mixture of molecules in solution	OBI_0000685		
material combination objective	OBI_0000686		
pathogen role	OBI_0000718		
host role	OBI_0000725		
study design independent variable	OBI_0000750		
study design dependent variable	OBI_0000751		
material maintenance objective	OBI_0000806		
material maintenance	OBI_0000838		
device	OBI_0000968		
dose specification	OBI_0000969		
dose	OBI_0000984		
value specification	OBI_0001933		
organism	OBI_0100026		
data transformation objective	OBI_0200166		
ANOVA	OBI_0200201		
chemical solution	OBI_0302729		
buffer role	OBI_0302731		
solvent role	OBI_0302732		
solute role	OBI_0302733		
storage	OBI_0302893		
study design	OBI_0500000		
administering substance in vivo	OBI_0600007		
antigen	OBI_1110034		
assay antigen role	OBI_1110120		
gene	OGG_0000000002		
gene of Bacteria	OGG_2000000002		
gene of Proteobacteria	OGG_2000001224		
gene of Mycobacterium tuberculosis H37Rv	OGG_2000083332		
gene of Brucella melitensis bv. 1 str. 16M	OGG_2000224914		
protein-coding gene of Mycobacterium tuberculosis H37Rv	OGG_2060083332		
protein-coding gene of Brucella melitensis bv. 1 str. 16M	OGG_2060224914		
panC	OGG_3000885459		
secA2	OGG_3000885594		
panD	OGG_3000885596		
lysA	OGG_3000886960		
fadD26	OGG_3000887603		
trpD	OGG_3000887681		
leuD	OGG_3000888225		
drrC	OGG_3000888491		
sigE	OGG_3000888751		
phoP	OGG_3000888772		
BMEI1364	OGG_3001197075		
disease	OGMS_0000031		
disorder	OGMS_0000045		
bodily process	OGMS_0000060		
pathological bodily process	OGMS_0000061		
disease course	OGMS_0000063		
age	PATO_0000011		
frequency	PATO_0000044		
biological sex	PATO_0000047		
time	PATO_0000165		
viability	PATO_0000169		
viable	PATO_0000719		
volume	PATO_0000918		
physical quality	PATO_0001018		
efficiency	PATO_0001029		
quality of a single physical entity	PATO_0001237		
physical object quality	PATO_0001241		
dead	PATO_0001422		
inefficient	PATO_0001677		
efficient	PATO_0001678		
organismal quality	PATO_0001995		
virulence	PATO_0002146		
protein	PRO_000000001		
superoxide dismutase [Cu-Zn]	PRO_000015399		
S protein of SARS-CoV-2 Wuhan strain	PR_P0DTC2		
nose	UBERON_0000004		
serous membrane	UBERON_0000042		
anatomical structure	UBERON_0000061		
organ	UBERON_0000062		
organ part	UBERON_0000064		
mouth	UBERON_0000165		
material anatomical entity	UBERON_0000465		
multi-tissue structure	UBERON_0000481		
stomach	UBERON_0000945		
anatomical entity	UBERON_0001062		
skeletal muscle tissue	UBERON_0001134		
urinary bladder	UBERON_0001255		
vein	UBERON_0001638		
blood vessel	UBERON_0001981		
hypodermis	UBERON_0002072		
skin of body	UBERON_0002097		
peritoneum	UBERON_0002358		
muscle tissue	UBERON_0002385		
mesoderm-derived structure	UBERON_0004120		
ectoderm-derived structure	UBERON_0004121		
subdivision of digestive tract	UBERON_0004921		
multicellular anatomical structure	UBERON_0010000		
bladder organ	UBERON_0018707		
milliliter	UO_0000098		
part of pathogen organism in vaccine	VO_0000000		
vaccine	VO_0000001		
ACAM2000	VO_0000003	Smallpox (Vaccinia) Vaccine, Live	ACAM2000
ActHIB	VO_0000004	Haemophilus b Conjugate Vaccine (Tetanus Toxoid Conjugate)	ActHIB
Adacel	VO_0000005	Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis Vaccine, Adsorbed	Adacel
Afluria	VO_0000006	Influenza Virus Vaccine	AFLURIA
Attenuvax	VO_0000007		Attenuvax
vaccine-induced lymphocyte activation	VO_0000008		
vaccine-induced B cell antigen processing and presentation	VO_0000009		
vaccine-induced B cell cytokine production	VO_0000010		
B cell epitope in vaccine	VO_0000011		
vaccine-induced B cell mediated immunity	VO_0000012		
Bacillus anthracis vaccine	VO_0000013		
Biothrax	VO_0000014	Anthrax Vaccine Adsorbed	Biothrax
